 COULOMB WAVE FUNCTIONS FOR
     TMAS=208.000 ZZT= 82.000 PMAS=  1.000 ZZP=  1.000 RMAS=  0.995
     ELAB= 10.000 ECM=  9.952 WN  =  0.688 ETA=  0.004 TURN=  2.454


 REGULAR COULOMB WAVE FUNCTIONS UP TO L=  2
    X         L=0            L=1           L=2

  8.200  0.795441E+00 -0.461738E+00 -0.104388E+01
  8.300  0.835254E+00 -0.400230E+00 -0.104804E+01
  8.400  0.871116E+00 -0.336946E+00 -0.104815E+01
  8.500  0.902858E+00 -0.272164E+00 -0.104419E+01
  8.600  0.930330E+00 -0.206170E+00 -0.103617E+01
  8.700  0.953401E+00 -0.139256E+00 -0.102408E+01
  8.800  0.971962E+00 -0.717201E-01 -0.100796E+01
  8.900  0.985926E+00 -0.386388E-02 -0.987850E+00
  9.000  0.995226E+00  0.640095E-01 -0.963818E+00
  9.100  0.999819E+00  0.131596E+00 -0.935939E+00
  9.200  0.999682E+00  0.198592E+00 -0.904312E+00
  9.300  0.994816E+00  0.264695E+00 -0.869047E+00
  9.400  0.985245E+00  0.329607E+00 -0.830274E+00
  9.500  0.971012E+00  0.393035E+00 -0.788136E+00
  9.600  0.952187E+00  0.454689E+00 -0.742795E+00
  9.700  0.928856E+00  0.514292E+00 -0.694422E+00
  9.800  0.901132E+00  0.571570E+00 -0.643207E+00
  9.900  0.869144E+00  0.626264E+00 -0.589351E+00
 10.000  0.833045E+00  0.678123E+00 -0.533067E+00
