   65     0.868   -27.644208248  8765.070562936   124.001391382     0.003070728     0.199976425     0.239039272    15.502727229    367    -0.906661831     37     196.211     326.848 / 354.805
   66     0.880   -27.666308949  8778.488052485   123.899625308     0.006154190     0.399945293     0.240086159    15.507270624    372    -0.886862782     37     198.880     331.035 / 354.832
   67     0.893   -27.687827405  8792.018531262   123.798708476     0.003096062     0.199976035     0.241109797    15.485813339    377    -0.867625281     38     201.626     342.520 / 361.883
   68     0.906   -27.708814312  8805.682008760   123.698451699     0.006209622     0.399927982     0.242113043    15.478984532    382    -0.848901677     38     204.267     342.930 / 362.090
   69     0.919   -27.729263836  8819.463798278   123.598935974     0.003127898     0.199975539     0.243096057    15.484445945    387    -0.830695053     39     206.771     350.043 / 369.180
   70     0.932   -27.749173990  8833.350619237   123.500219680     0.006267378     0.399933464     0.244059167    15.500680706    392    -0.813004970     39     209.913     349.781 / 369.309
   71     0.945   -27.768546708  8847.330629529   123.402354131     0.003148622     0.199975214     0.245002863    15.526953325    397    -0.795827523     40     213.295     357.152 / 376.430
   72     0.958   -27.787385046  8861.392225673   123.305378812     0.006304061     0.399935261     0.245927680    15.562963945    402    -0.779157782     40     216.488     357.199 / 376.430
   73     0.971   -27.805694080  8875.524297726   123.209333944     0.003160028     0.199975034     0.246834215    15.609095884    407    -0.762989072     41     219.428     364.336 / 383.559
   74     0.984   -27.823478433  8889.715103862   123.114255036     0.006322321     0.399934582     0.247723032    15.666545766    412    -0.747315136     41     223.098     364.730 / 383.559
   75     0.996   -27.840743039  8903.952119380   123.020187009     0.003162051     0.199975002     0.248594668    15.738832430    417    -0.732129489     42     226.402     362.336 / 390.684
   76     1.009   -27.857489205  8918.219452312   122.927188019     0.006320646     0.399926091     0.249449454    15.822188754    422    -0.717428930     42     229.761     366.656 / 390.684
   77     1.022   -27.873724252  8932.505047560   122.835294783     0.003152768     0.199975149     0.250287975    15.908435577    427    -0.703204971     43     232.809     379.125 / 397.777
   78     1.034   -27.889463374  8946.804216259   122.744490045     0.006298977     0.399933184     0.251111211    16.008962354    432    -0.689442164     43     236.060     379.207 / 397.824
   79     1.047   -27.904711437  8961.102482575   122.654824477     0.003136747     0.199975401     0.251919565    16.116243073    437    -0.676134061     44     238.899     385.930 / 405.027
   80     1.059   -27.919480333  8975.392107330   122.566298457     0.006262639     0.399369311     0.252713794    16.262355015    443    -0.663265908     44     242.117     385.758 / 405.027
   81     1.071   -27.933753904  8989.637853939   122.479089376     0.003107585     0.199975856     0.253493154    16.414583438    448    -0.650850854     45     244.708     393.062 / 412.062
   82     1.084   -27.947547705  9003.833548126   122.393183136     0.006195842     0.399919703     0.254258476    16.589506116    453    -0.638873662     45     247.667     392.863 / 412.262
   83     1.096   -27.960864631  9017.959434483   122.308653891     0.003064933     0.199976514     0.255009837    16.810970262    458    -0.627329847     46     250.572     395.398 / 419.512
   84     1.108   -27.973690112  9031.976571507   122.225681659     0.006098426     0.399880791     0.255746272    16.946831177    463    -0.616230071     46     253.331     397.074 / 419.512
   85     1.119   -27.986111117  9045.957205913   122.143797510     0.003017876     0.199977230     0.256472580    17.150475049    468    -0.605497778     47     256.168     407.504 / 426.801
   86     1.131   -27.998095764  9059.846106426   122.063284327     0.006008385     0.399862935     0.257186748    17.353657849    473    -0.595156455     47     258.764     407.523 / 426.801
   87     1.143   -28.009665102  9073.645835588   121.984091777     0.002963738     0.199978039     0.257889786    17.564337036    478    -0.585186221     48     261.675     414.629 / 433.648
   88     1.154   -28.020832713  9087.350658292   121.906203872     0.005899930     0.399855043     0.258582296    17.844412100    483    -0.575573910     48     264.856     414.551 / 433.812
   89     1.165   -28.031575984  9100.909416342   121.829872296     0.002897884     0.199979005     0.259262507    18.163972526    488    -0.566337261     49     267.584     421.918 / 440.938
   90     1.176   -28.041894680  9114.296672568   121.755192733     0.005752276     0.398326271     0.259929922    18.599622816    494    -0.557476379     49     270.827     421.754 / 440.938
   91     1.187   -28.051751149  9127.435091256   121.682549450     0.002794729     0.199980473     0.260581416    18.956549366    499    -0.549019986     50     274.433     422.379 / 447.980
   92     1.197   -28.061214658  9140.388863481   121.611537616     0.005543712     0.399907352     0.261220831    19.363615370    504    -0.540907441     50     277.717     428.820 / 447.984
   93     1.208   -28.070284969  9153.131321932   121.542263095     0.002697813     0.199981804     0.261847458    19.816926027    509    -0.533137749     51     280.333     436.016 / 455.113
   94     1.218   -28.078965293  9165.641363652   121.474796816     0.005340241     0.399903098     0.262460796    20.231141813    514    -0.525707119     51     283.121     436.590 / 455.113
   95     1.228   -28.087297548  9177.952238448   121.408918561     0.002594403     0.199983172     0.263062982    20.725523399    519    -0.518589569     52     285.995     443.375 / 462.301
   96     1.237   -28.095271721  9190.024291217   121.344800332     0.005132735     0.399801313     0.263652520    21.084185169    524    -0.511785098     52     288.669     443.133 / 462.305
   97     1.247   -28.102960821  9201.944556892   121.281947653     0.002500755     0.199984365     0.264234012    21.443779109    529    -0.505231103     53     291.504     450.281 / 469.656
   98     1.256   -28.110378957  9213.717267731   121.220310463     0.004964998     0.399913867     0.264807982    21.852736130    534    -0.498914767     53     294.274     450.418 / 469.656
